************************************************
*    Row   *       run *      lumi *       evt *
************************************************
*        0 *         1 *      3757 *   6729909 *
*        1 *         1 *      1321 *   2365451 *
*        2 *         1 *     37520 *  83968178 *
*        3 *         1 *     10717 *  23982538 *
*        4 *         1 *     49905 * 111685328 *
*        5 *         1 *     19687 *  44059079 *
*        6 *         1 *     32428 *  72573770 *
*        7 *         1 *     10739 *  24034034 *
*        8 *         1 *      1701 *   3807442 *
*        9 *         1 *     13666 *  30583974 *
*       10 *         1 *     31153 *  69720548 *
*       11 *         1 *     18936 *  42377309 *
*       12 *         1 *     39080 *  87459919 *
*       13 *         1 *     14470 *  32382468 *
*       14 *         1 *     45371 * 101540143 *
*       15 *         1 *     29784 *  66655882 *
*       16 *         1 *     11675 *  22811749 *
*       17 *         1 *      3591 *   7015983 *
*       18 *         1 *      3105 *   6067711 *
*       19 *         1 *     13513 *  26403269 *
*       20 *         1 *     13515 *  26407570 *
************************************************
